,zona,quartos,area,preco
2,sul,,,4200
3,sul,,1000,18000
4,sul,3,160,2500
5,sul,4,625,7000
6,sul,6,200,3000
7,sul,3,200,4000
8,sul,2,70,1800
9,sul,3,145,3700
10,sul,3,289,15150
11,sul,,,25000
12,sul,4,281,6000
13,sul,2,200,2200
14,sul,,,2500
15,sul,3,177,4500
16,sul,3,131,10000
17,sul,4,550,20000
18,sul,,700,6500
19,sul,6,1200,7900
20,sul,4,490,19500
21,sul,4,300,10850
22,sul,4,320,8000
23,sul,3,120,5000
24,sul,,300,5000
25,sul,2,60,2000
26,sul,1,50,1100
27,sul,2,65,1800
28,sul,2,55,2400
29,sul,2,75,1500
30,sul,4,144,4500
31,sul,3,182,4800
32,sul,4,428,14000
33,sul,3,194,5400
34,sul,3,289,35000
35,sul,3,350,9000
36,sul,,436,8000
37,sul,4,535,6000
38,sul,,450,11000
39,sul,1,400,16000
40,sul,4,530,15000
41,sul,2,90,2800
42,sul,4,234,5200
43,sul,4,750,9500
44,sul,,220,12000
45,sul,4,450,44000
46,sul,,100,6000
47,sul,,164,7000
0,sul,1,54,2200
1,sul,,,2400
2,sul,3,140,2500
3,sul,3,120,6000
4,sul,2,533,10000
5,sul,4,289,6500
6,sul,2,80,3100
7,sul,2,230,6000
8,sul,4,500,7000
9,sul,,764,70000
10,sul,3,300,8500
11,sul,7,398,7000
12,sul,3,300,7000
13,sul,3,300,7500
14,sul,4,200,6500
15,sul,4,688,32000
16,sul,,400,15000
17,sul,3,200,8000
18,sul,1,40,850
19,sul,12,5,6500
20,sul,,,7500
21,sul,,,9500
22,sul,5,529,7500
23,sul,5,1300,42000
24,sul,4,250,7500
25,sul,4,360,18000
26,sul,3,353,9000
27,sul,4,400,40000
28,sul,7,319,15000
29,sul,2,100,5300
30,sul,3,333,5000
31,sul,4,200,7000
32,sul,,288,17000
33,sul,1,400,11000
34,sul,3,143,3000
35,sul,4,650,30000
36,sul,,230,7000
37,sul,3,270,3200
38,sul,4,430,10000
39,sul,3,110,2100
40,sul,,350,5000
41,sul,4,150,3400
42,sul,,150,4500
43,sul,,764,70000
44,sul,4,250,7000
45,sul,4,441,6500
46,sul,3,212,5200
47,sul,4,208,5500
0,sul,5,764,70000
1,sul,,750,28000
2,sul,,150,4000
3,sul,,780,25000
4,sul,4,600,7000
5,sul,4,497,21000
6,sul,4,530,15000
7,sul,4,850,25000
8,sul,4,249,8000
9,sul,4,320,12002
10,sul,2,140,5200
11,sul,,300,11000
12,sul,4,400,9000
13,sul,4,366,12000
14,sul,3,450,5500
15,sul,4,700,10000
16,sul,4,184,3500
17,sul,,180,7000
18,sul,,,4000
19,sul,4,250,6000
20,sul,3,180,3800
21,sul,3,136,3500
